Cluster,AWD_Total,WFS_Total,.NET_Total,LOS_Total,NT_Total,CC_Total
0,66.6437652811736,68.01026894865525,62.399755501222494,61.7161369193154,63.82836185819071,40.39046454767726
1,79.10356652949245,79.61076817558299,77.05624142661179,77.02743484224966,76.44890260631001,43.3775720164609
2,53.657243816254415,54.59565875820293,51.70116102978294,49.110550227158,48.224634023220595,34.14336193841494
